City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Galveston,US,2020-01-04 11:17:48,40.58,-86.19,37.0,93,90,6.93
1,Ushuaia,AR,2020-01-04 11:15:10,-54.81,-68.31,46.4,75,40,3.36
2,Guozhen,CN,2020-01-04 11:17:49,29.3,113.14,46.4,79,96,3.78
3,Upernavik,GL,2020-01-04 11:17:49,72.79,-56.15,-32.13,99,96,14.38
4,Geraldton,CA,2020-01-04 11:17:49,49.72,-86.95,12.2,92,90,2.24
5,Atuona,PF,2020-01-04 11:17:50,-9.8,-139.03,80.55,76,28,17.87
6,Busselton,AU,2020-01-04 11:17:50,-33.64,115.35,69.01,32,0,18.7
7,Port Alfred,ZA,2020-01-04 11:17:51,-33.59,26.89,71.01,98,75,1.01
8,Yulara,AU,2020-01-04 11:17:51,-25.24,130.99,62.6,100,75,19.46
9,Byron Bay,AU,2020-01-04 11:17:51,-28.65,153.62,77.0,73,0,13.87
10,Vila,IT,2020-01-04 11:16:28,45.18,8.4,54.0,75,17,2.24
11,Tura,RU,2020-01-04 11:17:52,64.27,100.22,-12.32,93,49,5.46
12,Pevek,RU,2020-01-04 11:17:53,69.7,170.27,-3.48,64,0,4.76
13,Palmer,AU,2020-01-04 11:17:53,-34.85,139.16,64.99,52,75,17.22
14,The Valley,AI,2020-01-04 11:17:54,18.22,-63.06,78.01,83,20,13.87
15,Souillac,FR,2020-01-04 11:17:55,45.6,-0.6,48.0,81,79,6.93
16,Long Xuyen,VN,2020-01-04 11:17:55,10.39,105.43,84.2,62,20,4.7
17,Great Yarmouth,GB,2020-01-04 11:17:55,52.61,1.73,46.0,81,65,13.87
18,Kavaratti,IN,2020-01-04 11:17:56,10.57,72.64,87.8,66,40,6.93
19,Ukholovo,RU,2020-01-04 11:17:56,53.79,40.49,30.33,80,94,15.08
20,Hobart,AU,2020-01-04 11:16:40,-42.88,147.33,59.0,33,75,14.99
21,Pishin,PK,2020-01-04 11:17:57,30.58,67.0,48.87,49,38,10.07
22,Vaini,IN,2020-01-04 11:17:58,15.34,74.49,82.4,39,20,11.41
23,Tuy Hoa,VN,2020-01-04 11:17:58,13.08,109.3,75.81,77,98,20.09
24,Rikitea,PF,2020-01-04 11:17:58,-23.12,-134.97,77.29,83,97,14.5
25,Albany,US,2020-01-04 11:17:59,42.65,-73.75,41.0,86,90,2.1
26,Leningradskiy,RU,2020-01-04 11:18:00,69.38,178.42,-8.55,69,32,5.3
27,Mangan,IN,2020-01-04 11:18:00,27.5,88.54,35.83,98,100,2.33
28,Zhigansk,RU,2020-01-04 11:18:01,66.77,123.37,-23.49,93,100,12.39
29,Hermanus,ZA,2020-01-04 11:18:01,-34.42,19.24,80.01,60,16,1.99
30,Nishihara,JP,2020-01-04 11:18:01,35.74,139.53,48.99,48,75,3.36
31,Kogon,UZ,2020-01-04 11:18:02,39.73,64.54,39.2,86,90,6.93
32,Churapcha,RU,2020-01-04 11:18:04,62.0,132.43,-27.35,95,73,4.41
33,Avarua,CK,2020-01-04 11:18:04,-21.21,-159.78,77.0,94,32,8.05
34,Chuy,UY,2020-01-04 11:18:04,-33.69,-53.46,72.45,60,0,5.23
35,Marawi,PH,2020-01-04 11:18:05,8.0,124.29,80.01,79,86,4.0
36,Lebu,ET,2020-01-04 11:18:05,8.96,38.73,72.52,36,68,4.25
37,Ahipara,NZ,2020-01-04 11:18:06,-35.17,173.16,57.99,87,77,18.59
38,Thompson,CA,2020-01-04 11:15:16,55.74,-97.86,-4.0,76,75,3.36
39,Waterloo,SL,2020-01-04 11:15:16,8.34,-13.07,77.0,83,75,10.29
40,Akhtubinsk,RU,2020-01-04 11:18:07,48.29,46.17,35.38,65,2,10.38
41,Qaanaaq,GL,2020-01-04 11:18:07,77.48,-69.36,-42.61,89,58,3.89
42,Saldanha,PT,2020-01-04 11:18:08,41.42,-6.55,46.92,71,0,5.57
43,Likasi,CD,2020-01-04 11:18:08,-10.99,26.74,70.32,80,100,5.3
44,Lerwick,GB,2020-01-04 11:18:08,60.15,-1.15,39.2,69,75,8.05
45,Saint George,GR,2020-01-04 11:18:09,39.45,22.34,55.4,37,20,5.82
46,Wodonga,AU,2020-01-04 11:18:09,-36.12,146.89,89.6,27,23,11.41
47,Anadyr,RU,2020-01-04 11:18:10,64.73,177.51,-32.8,66,0,11.18
48,Georgetown,GY,2020-01-04 11:16:05,6.8,-58.16,77.0,94,20,2.24
49,Yellowknife,CA,2020-01-04 11:15:16,62.45,-114.38,-2.0,83,90,4.7
50,Mataura,NZ,2020-01-04 11:18:11,-46.19,168.86,50.0,78,83,3.0
51,Oranjemund,ZA,2020-01-04 11:18:11,-28.55,16.43,71.76,57,0,17.22
52,Huarmey,PE,2020-01-04 11:18:12,-10.07,-78.15,68.52,82,99,1.41
53,Strani,CZ,2020-01-04 11:18:12,48.9,17.71,39.0,86,80,1.12
54,Kapaa,US,2020-01-04 11:18:13,22.08,-159.32,75.2,83,90,19.46
55,Ballitoville,ZA,2020-01-04 11:18:13,-29.54,31.21,95.0,62,0,13.87
56,Wanaka,NZ,2020-01-04 11:18:14,-44.7,169.14,41.68,87,100,5.95
57,Guerrero Negro,MX,2020-01-04 11:16:48,27.97,-114.04,54.97,46,0,1.99
58,Cape Town,ZA,2020-01-04 11:18:14,-33.93,18.42,80.01,61,45,10.29
59,Arraial Do Cabo,BR,2020-01-04 11:18:15,-22.97,-42.02,78.8,74,40,12.75
60,Dukat,AL,2020-01-04 11:18:15,40.25,19.57,60.01,47,35,3.0
61,Malinovoye Ozero,RU,2020-01-04 11:18:16,51.68,79.77,18.19,91,40,7.61
62,Ilulissat,GL,2020-01-04 11:16:14,69.22,-51.1,17.6,78,75,1.12
63,Marsh Harbour,BS,2020-01-04 11:18:16,26.54,-77.06,75.92,85,59,13.94
64,Cesis,LV,2020-01-04 11:18:17,57.31,25.27,36.0,86,89,8.01
65,Bukan,IR,2020-01-04 11:18:17,36.52,46.21,33.78,97,100,2.08
66,Miri,NG,2020-01-04 11:18:18,10.31,9.75,78.35,18,0,8.81
67,Hilo,US,2020-01-04 11:18:18,19.71,-155.08,69.8,77,40,8.05
